,主体代码,主体名称,股东,董监高法,证券代码,证券产品,所属行业,主营业务,关联机构,对外投资
0,80285374.0,上海华信国际集团有限公司,中国华信国际股权投资有限公司,叶简明,150151.SH,18沪信02,能源,石油及制品批发,上海华信石油集团有限公司分公司,华信国智电力有限责任公司
1,,,上海市华信金融控股有限公司,秦霞,150101.SH,18沪信01,化工,石油与天然气的炼制和营销,华信证券,华信泰如国际新能源有限公司
2,,,中国华信能源有限公司,苏卫忠,143944.SH,17华信Y2,,石油贸易,,日照港富华国际码头管理有限公司
3,,,,熊凤生,143943.SH,17华信Y1,,,,上海华信金融服务有限公司
4,,,,李勇,145310.SH,17沪信01,,,,上海华信国际集团财务有限责任公司
5,,,,李山,011768006.IB,17沪华信SCP005,,,,上海华信国际集团工业装备有限公司
6,,,,,011767017.IB,17沪华信SCP004,,,,上海华投资产管理合伙企业(有限合伙)
7,,,,,011768004.IB,17沪华信SCP003,,,,上海华信国际集团股权投资基金管理有限公司
8,,,,,011754134.IB,17沪华信SCP002,,,,上海华信集团资产经营有限公司
9,,,,,011770012.IB,17沪华信SCP001,,,,上海实华格胜股权投资合伙企业(有限合伙)
10,,,,,101788004.IB,17沪华信MTN002,,,,深圳华信国际控股有限公司
11,,,,,101788002.IB,17沪华信MTN001,,,,
12,,,,,136698.SH,16申信01,,,,
13,,,,,011697046.IB,16沪华信SCP007,,,,
14,,,,,011697010.IB,16沪华信SCP006,,,,
15,,,,,011698958.IB,16沪华信SCP005,,,,
16,,,,,011698874.IB,16沪华信SCP004,,,,
17,,,,,011698821.IB,16沪华信SCP003,,,,
18,,,,,011699349.IB,16沪华信SCP002,,,,
19,,,,,011699215.IB,16沪华信SCP001,,,,
20,,,,,136093.SH,15华信债,,,,
21,,,,,101556042.IB,15沪华信MTN001,,,,
22,,,,,041556039.IB,15沪华信CP001,,,,
23,,,,,041452052.IB,14华信石油CP001,,,,
